productname,2014,2015,2016,2017,Total in Months
GBC Imprintable Covers,0,18,8,10,36
"Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock""",0,10,11,10,31
Acme Tagit Stainless Steel Antibacterial Scissors,0,7,5,10,22
Newell 309,0,7,3,10,20
Aastra 6757i CT Wireless VoIP phone,0,6,0,10,16
OtterBox Commuter Series Case - iPhone 5 & 5s,0,6,0,10,16
Newell 344,0,5,3,10,18
"Quartet Omega Colored Chalk, 12/Pack",0,5,0,10,15
Xerox 227,0,4,8,10,22
Acme Galleria Hot Forged Steel Scissors with Colored Handles,0,3,0,10,13
Eldon 200 Class Desk Accessories,0,2,10,10,22
Microsoft Natural Ergonomic Keyboard 4000,0,2,7,10,19
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,0,1,0,10,11
Samsung Replacement EH64AVFWE Premium Headset,0,0,11,10,21
Avery Durable Slant Ring Binders,0,0,9,10,19
Acme Preferred Stainless Steel Scissors,0,0,6,10,16
"Telephone Message Books with Fax/Mobile Section, 4 1/4 x 6""""",0,0,5,10,15
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,0,0,3,10,13
Xerox 1982,0,0,2,10,12
Hewlett-Packard 300S Scientific Calculator,0,0,0,10,10
Maxell iVDR EX 500GB Cartridge,0,0,0,10,10
SAFCO Arco Folding Chair,23,10,11,9,53
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",22,0,0,9,31
Ibico Ibimaster 300 Manual Binding System,15,0,4,9,28
Xerox 1895,12,6,6,9,33
Hon 94000 Series Round Tables,12,3,6,9,30
Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),12,1,3,9,25
Xerox 214,11,5,12,9,37
KI Conference Tables,10,19,6,9,44
"Global Value Mid-Back Manager's Chair, Gray",10,12,8,9,39
GuestStacker Chair with Chrome Finish Legs,10,12,0,9,31
Acco D-Ring Binder w/DublLock,10,12,0,9,31
Logitech Wireless Performance Mouse MX for PC and Mac,10,2,0,9,21
"Global Geo Office Task Chair, Gray",10,1,5,9,25
Cisco SPA525G2 IP Phone - Wireless,9,2,6,9,26
Plantronics Audio 478 Stereo USB Headset,8,8,9,9,34
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",8,3,6,9,26
Sanford Liquid Accent Highlighters,8,2,5,9,24
OIC Binder Clips,7,11,11,9,38
Eldon Simplefile Box Office,7,4,10,9,30
SanDisk Cruzer 32 GB USB Flash Drive,6,0,5,9,20
Fashion Color Clasp Envelopes,6,0,0,9,15
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",5,12,9,9,35
Bretford CR4500 Series Slim Rectangular Table,5,11,4,9,29
"OIC #2 Pencils, Medium Soft",5,2,1,9,17
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",5,0,14,9,28
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",5,0,6,9,20
Eldon Radial Chair Mat for Low to Medium Pile Carpets,5,0,6,9,20
"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",5,0,0,9,14
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4,10,8,9,31
Xerox 197,4,5,0,9,18
SpineVue Locking Slant-D Ring Binders by Cardinal,4,3,6,9,22
Balt Solid Wood Round Tables,4,0,6,9,19
Xerox 221,4,0,1,9,14
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3,13,7,9,32
Global Low Back Tilter Chair,3,3,6,9,21
Digium D40 VoIP phone,2,12,4,9,27
Nortel Meridian M3904 Professional Digital phone,2,11,10,9,32
Xerox 1916,2,8,1,9,20
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2 X 11""""",2,2,4,9,17
Luxo Professional Combination Clamp-On Lamps,2,2,0,9,13
"Advantus Push Pins, Aluminum Head",2,1,12,9,24
Rogers Deluxe File Chest,2,1,10,9,22
Bionaire Personal Warm Mist Humidifier/Vaporizer,2,0,0,9,11
Avoid Verbal Orders Carbonless Minifold Book,1,11,0,9,21
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1,7,12,9,29
Xerox 189,1,0,9,9,19
Plantronics Encore H101 Dual Earpieces Headset,1,0,8,9,18
Logitech diNovo Edge Keyboard,0,13,9,9,31
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",0,13,6,9,28
"Tennsco Lockers, Sand",0,13,0,9,22
O'Sullivan 3-Shelf Heavy-Duty Bookcases,0,13,0,9,22
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,0,9,13,9,31
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0,9,8,9,26
Mobile Personal File Cube,0,8,4,9,21
Imation Bio 8GB USB Flash Drive Imation Corp,0,7,0,9,16
Novimex Turbo Task Chair,0,5,8,9,22
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,0,5,2,9,16
Newell 349,0,5,0,9,14
Newell 323,0,5,0,9,14
Hanging Personal Folder File,0,4,4,9,17
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",0,3,0,9,12
Personal File Boxes with Fold-Down Carry Handle,0,3,0,9,12
Tops White Computer Printout Paper,0,2,3,9,14
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",0,2,2,9,13
Design Ebony Sketching Pencil,0,2,0,9,11
"Bush Cubix Conference Tables, Fully Assembled",0,0,10,9,19
"Seth Thomas 12 Clock w/ Goldtone Case""",0,0,8,9,17
Avery 498,0,0,4,9,13
Xerox 1998,0,0,0,9,9
"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",0,0,0,9,9
Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,0,0,0,9,9
"Bush Birmingham Collection Bookcase, Dark Cherry",0,0,0,9,9
Avery 499,18,6,8,8,40
GBC ProClick Punch Binding System,16,0,7,8,31
Polycom VVX 310 VoIP phone,13,11,8,8,40
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",13,0,30,8,51
Longer-Life Soft White Bulbs,12,10,14,8,44
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12,10,1,8,31
Avery Arch Ring Binders,12,7,13,8,40
Stockwell Push Pins,12,7,7,8,34
"Padded Folding Chairs, Black, 4/Carton",12,7,3,8,30
"Howard Miller 13 Diameter Goldtone Round Wall Clock""",12,7,0,8,27
GBC DocuBind P400 Electric Binding System,11,0,8,8,27
GBC DocuBind P100 Manual Binding Machine,10,6,3,8,27
Xerox 226,9,21,15,8,53
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,9,0,8,8,25
Wilson Jones Standard D-Ring Binders,8,5,5,8,26
Compact Automatic Electric Letter Opener,8,3,7,8,26
Zebra Zazzle Fluorescent Highlighters,8,0,4,8,20
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",7,8,5,8,28
Newell 321,7,7,0,8,22
Surelock Post Binders,7,5,9,8,29
Sony 16GB Class 10 Micro SDHC R40 Memory Card,7,1,0,8,16
Hon Pagoda Stacking Chairs,6,8,0,8,22
Plantronics S12 Corded Telephone Headset System,6,3,6,8,23
Multicolor Computer Printout Paper,6,2,3,8,19
Xerox 1897,6,2,0,8,16
"Tenex File Box, Personal Filing Tote with Lid, Black",6,0,10,8,24
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",6,0,2,8,16
Avery 501,5,9,0,8,22
Lumber Crayons,5,6,0,8,19
Xerox 211,5,6,0,8,19
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,5,5,2,8,20
Avery 495,5,0,3,8,16
Personal Creations Ink Jet Cards and Labels,4,16,0,8,28
"Boston School Pro Electric Pencil Sharpener, 1670",4,11,9,8,32
Self-Adhesive Address Labels for Typewriters by Universal,4,4,7,8,23
Tennsco Regal Shelving Units,4,3,3,8,18
Sauder Cornerstone Collection Library,4,2,0,8,14
"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",4,0,22,8,34
Logitech G105 Gaming Keyboard,4,0,2,8,14
Xerox 1966,4,0,2,8,14
Clarity 53712,4,0,2,8,14
Avery 476,3,15,11,8,37
Advantus Rolling Storage Box,3,8,8,8,27
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",3,8,2,8,21
Bevis Round Conference Table Top & Single Column Base,3,8,0,8,19
Newell 34,3,7,7,8,25
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3,7,0,8,18
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3,6,8,8,25
APC 7 Outlet Network SurgeArrest Surge Protector,3,2,7,8,20
Crate-A-Files,3,2,5,8,18
"Howard Miller 14-1/2 Diameter Chrome Round Wall Clock""",3,0,18,8,29
"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",3,0,11,8,22
Security-Tint Envelopes,2,9,4,8,23
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11""""",2,4,17,8,31
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,2,4,13,8,27
Fellowes Staxonsteel Drawer Files,2,4,12,8,26
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2,1,0,8,11
"Sauder Mission Library with Doors, Fruitwood Finish",2,0,0,8,10
Canon Imageclass D680 Copier / Fax,1,5,2,8,16
PowerGen Dual USB Car Charger,1,0,5,8,14
Xerox 1883,0,25,4,8,37
"Global Armless Task Chair, Royal Blue",0,15,5,8,28
Mitel MiVoice 5330e IP Phone,0,14,12,8,34
Avery Hi-Liter Smear-Safe Highlighters,0,11,5,8,24
Xerox 188,0,11,1,8,20
Home/Office Personal File Carts,0,9,13,8,30
Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,0,9,5,8,22
Xerox 1962,0,8,12,8,28
"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",0,7,0,8,15
Panasonic KP-380BK Classic Electric Pencil Sharpener,0,6,8,8,22
Fellowes Command Center 5-outlet power strip,0,6,1,8,15
Plantronics Calisto P620-M USB Wireless Speakerphone System,0,5,1,8,14
"XtraLife ClearVue Slant-D Ring Binder, White, 3""",0,4,27,8,39
Jackery Bar Premium Fast-charging Portable Charger,0,4,6,8,18
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",0,3,13,8,24
Binder Posts,0,3,5,8,16
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,0,3,0,8,11
36X48 HARDFLOOR CHAIRMAT,0,2,11,8,21
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,0,2,0,8,10
"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16""""",0,0,9,8,17
V7 USB Numeric Keypad,0,0,8,8,16
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",0,0,6,8,14
Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,0,0,5,8,13
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6 x 9""""",0,0,5,8,13
Jabra SPEAK 410 Multidevice Speakerphone,0,0,5,8,13
Magnifier Swing Arm Lamp,0,0,4,8,12
14-7/8 x 11 Blue Bar Computer Printout Paper,0,0,2,8,10
Newell 339,0,0,2,8,10
"Quartet Alpha White Chalk, 12/Pack",0,0,0,8,8
Xerox 1980,0,0,0,8,8
Plastic Stacking Crates & Casters,0,0,0,8,8
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,0,0,0,8,8
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",0,0,0,8,8
"Southworth 100% Résumé Paper, 24lb.",28,0,0,7,35
"Safco Chair Connectors, 6/Carton",19,0,0,7,26
Xerox 195,17,0,3,7,27
"Carina Mini System Audio Rack, Model AR050B",16,0,3,7,26
Avery 480,15,1,1,7,24
Belkin 8 Outlet Surge Protector,14,7,2,7,30
Xerox 1949,14,6,1,7,28
Newell 351,14,1,4,7,26
Hon Every-Day Series Multi-Task Chairs,13,13,10,7,43
Xerox 216,13,11,11,7,42
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",13,3,0,7,23
"Master Caster Door Stop, Brown",12,5,14,7,38
GBC Instant Index System for Binding Systems,12,0,0,7,19
Xerox 1934,11,0,2,7,20
Lexmark MX611dhe Monochrome Laser Printer,11,0,0,7,18
Holmes Odor Grabber,10,10,3,7,30
Recycled Pressboard Report Cover with Reinforced Top Hinge,10,2,15,7,34
"Carina 42Hx23 3/4""W Media Storage Unit""",10,1,4,7,22
DIXON Oriole Pencils,10,0,2,7,19
"Hot File 7-Pocket, Floor Stand",9,15,18,7,49
"Master Caster Door Stop, Large Neon Orange",9,9,2,7,27
"Seth Thomas 16 Steel Case Clock""",9,3,0,7,19
Nontoxic Chalk,9,0,11,7,27
Kensington 7 Outlet MasterPiece Power Center,8,2,4,7,21
"Global Value Steno Chair, Gray",7,14,15,7,43
Tenex Chairmats For Use with Hard Floors,7,6,0,7,20
Xerox 1898,7,5,27,7,46
Tripp Lite TLP810NET Broadband Surge for Modem/Fax,7,5,3,7,22
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,7,4,0,7,18
Xerox 213,7,2,2,7,18
Acrylic Self-Standing Desk Frames,6,17,7,7,37
"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",6,15,6,7,34
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11""""",6,12,12,7,37
"Logitech B530 USB Headset - headset - Full size, Binaural",6,10,2,7,25
"BOSTON Ranger #55 Pencil Sharpener, Black",6,4,10,7,27
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,6,0,7,7,20
GBC DocuBind 200 Manual Binding Machine,6,0,2,7,15
Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,5,10,0,7,22
Nokia Lumia 521 (T-Mobile),5,5,3,7,20
Avery 506,5,5,0,7,17
First Data FD10 PIN Pad,5,4,8,7,24
Newell Chalk Holder,5,4,5,7,21
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",5,3,7,7,22
Convenience Packs of Business Envelopes,5,3,3,7,18
Plantronics 81402,5,3,0,7,15
"Tennsco Lockers, Gray",5,2,8,7,22
"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",5,0,2,7,14
American Pencil,4,5,5,7,21
GBC Linen Binding Covers,4,4,3,7,18
Luxo Economy Swing Arm Lamp,4,4,2,7,17
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,4,3,2,7,16
OIC Bulk Pack Metal Binder Clips,3,7,13,7,30
Samsung HM1900 Bluetooth Headset,3,7,10,7,27
"Avery Trapezoid Extra Heavy Duty 4 Binders""",3,5,0,7,15
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,3,5,0,7,15
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11 x 14-7/8""""",3,4,8,7,22
"Acco Banker's Clasps, 5 3/4-Long""",3,4,1,7,15
Newell 345,3,3,13,7,26
Sterilite Show Offs Storage Containers,3,3,3,7,16
"Plantronics CS 50-USB - headset - Convertible, Monaural",3,3,0,7,13
Sony 32GB Class 10 Micro SDHC R40 Memory Card,3,2,0,7,12
Canon PC1080F Personal Copier,3,1,0,7,11
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,3,0,14,7,24
Safco Drafting Table,3,0,2,7,12
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,3,0,0,7,10
Advantus Panel Wall Certificate Holder - 8.5x11,2,5,9,7,23
Angle-D Ring Binders,2,3,2,7,14
SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,2,3,0,7,12
"Companion Letter/Legal File, Black",2,2,6,7,17
Memorex Micro Travel Drive 32 GB,2,1,2,7,12
"Howard Miller 13-1/2 Diameter Rosebrook Wall Clock""",2,0,8,7,17
"Stacking Tray, Side-Loading, Legal, Smoke",2,0,7,7,16
Presstex Flexible Ring Binders,1,5,17,7,30
Martin-Yale Premier Letter Opener,1,5,7,7,20
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",1,2,10,7,20
Avery 49,1,0,16,7,24
"DXL Angle-View Binders with Locking Rings, Black",0,19,0,7,26
Kensington 4 Outlet MasterPiece Compact Power Control Center,0,18,11,7,36
Razer Kraken PRO Over Ear PC and Music Headset,0,17,6,7,30
Xerox 1977,0,11,2,7,20
"Iris 3-Drawer Stacking Bin, Black",0,9,0,7,16
Novimex High-Tech Fabric Mesh Task Chair,0,9,0,7,16
Xerox 222,0,8,7,7,22
Canon PC-428 Personal Copier,0,7,11,7,25
Xerox 1935,0,7,7,7,21
Gear Head AU3700S Headset,0,7,2,7,16
Hoover Shoulder Vac Commercial Portable Vacuum,0,6,3,7,16
HP Office Recycled Paper (20Lb. and 87 Bright),0,5,7,7,19
KeyTronic E03601U1 - Keyboard - Beige,0,5,6,7,18
Samsung Galaxy S4 Mini,0,5,3,7,15
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,0,5,0,7,12
Heavy-Duty E-Z-D Binders,0,4,18,7,29
Xerox 201,0,4,8,7,19
Fiskars Softgrip Scissors,0,3,18,7,28
Barrel Sharpener,0,3,9,7,19
Xerox 22,0,3,3,7,13
"Master Caster Door Stop, Gray",0,3,0,7,10
"Elite 5 Scissors""",0,2,15,7,24
Wilson Jones International Size A4 Ring Binders,0,2,9,7,18
"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",0,2,8,7,17
Newell 307,0,2,3,7,12
Self-Adhesive Address Labels for Typewriters with Dispenser Box,0,2,0,7,9
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",0,1,15,7,23
ClearOne Communications CHAT 70 OC Speaker Phone,0,1,4,7,12
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",0,0,10,7,17
"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",0,0,7,7,14
Samsung Galaxy Note 2,0,0,7,7,14
DAX Two-Tone Silver Metal Document Frame,0,0,6,7,13
Harmony HEPA Quiet Air Purifiers,0,0,5,7,12
Xerox 1975,0,0,5,7,12
Euro Pro Shark Stick Mini Vacuum,0,0,4,7,11
"TOPS Money Receipt Book, Consecutively Numbered in Red,",0,0,4,7,11
Newell 33,0,0,3,7,10
"Acco Recycled 2 Capacity Laser Printer Hanging Data Binders""",0,0,3,7,10
Letter Size File,0,0,3,7,10
Xerox 1938,0,0,0,7,7
Col-Erase Pencils with Erasers,0,0,0,7,7
Canon Image Class D660 Copier,0,0,0,7,7
Tennsco 6- and 18-Compartment Lockers,22,8,7,6,43
Avery 485,21,24,0,6,51
Global Deluxe High-Back Manager's Chair,21,4,4,6,35
Chromcraft Rectangular Conference Tables,18,2,4,6,30
Space Solutions HD Industrial Steel Shelving.,17,0,4,6,27
Mophie Juice Pack Helium for iPhone,15,0,3,6,24
O'Sullivan Living Dimensions 2-Shelf Bookcases,14,3,5,6,28
Macally Suction Cup Mount,13,0,7,6,26
Xerox 1933,13,0,5,6,24
Newell 320,12,5,0,6,23
Fellowes PB200 Plastic Comb Binding Machine,11,11,10,6,38
Xerox 217,11,0,8,6,25
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,10,7,8,6,31
GBC Wire Binding Combs,10,5,5,6,26
"#10 White Business Envelopes,4 1/8 x 9 1/2",10,1,15,6,32
Global Highback Leather Tilter in Burgundy,9,16,3,6,34
Avery Self-Adhesive Photo Pockets for Polaroid Photos,9,13,13,6,41
"DAX Value U-Channel Document Frames, Easel Back",9,6,15,6,36
Case Logic 2.4GHz Wireless Keyboard,9,4,8,6,27
Hypercom P1300 Pinpad,8,5,2,6,21
GE DSL Phone Line Filter,8,0,1,6,15
Poly Designer Cover & Back,7,8,14,6,35
Logitech G600 MMO Gaming Mouse,7,8,0,6,21
GBC Standard Therm-A-Bind Covers,7,5,16,6,34
"Dixon My First Ticonderoga Pencil, #2",7,3,3,6,19
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",7,2,4,6,19
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",7,0,0,6,13
Harbour Creations Steel Folding Chair,6,16,6,6,34
Safco Contoured Stacking Chairs,5,16,0,6,27
"Bevis Round Bullnose 29 High Table Top""",5,12,1,6,24
Ibico Covers for Plastic or Wire Binding Elements,5,5,4,6,20
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",5,4,5,6,20
"DAX Copper Panel Document Frame, 5 x 7 Size",5,4,3,6,18
Global Comet Stacking Armless Chair,5,3,0,6,14
Acme Softgrip Scissors,5,0,12,6,23
Avery Legal 4-Ring Binder,5,0,5,6,16
Plantronics Savi W720 Multi-Device Wireless Headset System,4,11,3,6,24
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4,6,5,6,21
Wilson SignalBoost 841262 DB PRO Amplifier Kit,4,5,2,6,17
Samsung Galaxy S4,4,1,2,6,13
Jabra Supreme Plus Driver Edition Headset,4,0,12,6,22
Xerox 1942,4,0,3,6,13
Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,3,26,0,6,35
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,3,11,4,6,24
3-ring staple pack,3,10,7,6,26
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",3,8,1,6,18
Global Deluxe Office Fabric Chairs,3,8,0,6,17
"Sauder Camden County Collection Libraries, Planked Cherry Finish",3,5,5,6,19
Imation Clip USB flash drive - 8 GB,3,4,12,6,25
Avery 483,3,3,7,6,19
Hon 4070 Series Pagoda Round Back Stacking Chairs,3,2,10,6,21
Newell 330,3,2,0,6,11
Xerox 1993,3,0,15,6,24
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",3,0,11,6,20
Global Executive Mid-Back Manager's Chair,3,0,9,6,18
Newell 327,3,0,9,6,18
iOttie HLCRIO102 Car Mount,3,0,3,6,12
Panasonic KX TS3282B Corded phone,3,0,0,6,9
Avery Poly Binder Pockets,2,11,15,6,34
Fellowes High-Stak Drawer Files,2,11,7,6,26
Ideal Clamps,2,5,20,6,33
"Executive Impressions 14 Contract Wall Clock""",2,5,4,6,17
Logitech Trackman Marble Mouse,2,3,17,6,28
Maxell 4.7GB DVD+R 5/Pack,2,3,2,6,13
Safco Industrial Shelving,2,0,5,6,13
Telescoping Adjustable Floor Lamp,2,0,2,6,10
Tennsco Industrial Shelving,1,13,9,6,29
Belkin 7-Outlet SurgeMaster Home Series,1,0,3,6,10
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,0,11,0,6,17
Xerox 212,0,10,9,6,25
Xerox 1991,0,9,11,6,26
Hon Mobius Operator's Chair,0,7,10,6,23
Nu-Dell Oak Frame,0,7,3,6,16
Avery 486,0,6,12,6,24
Office Star - Contemporary Task Swivel Chair,0,6,8,6,20
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",0,6,0,6,12
Xerox 1953,0,6,0,6,12
GBC Therma-A-Bind 250T Electric Binding System,0,6,0,6,12
Durable Pressboard Binders,0,5,0,6,11
"Tenex Personal Self-Stacking Standard File Box, Black/Gray",0,4,5,6,15
Acme Elite Stainless Steel Scissors,0,4,2,6,12
Xerox 1937,0,4,2,6,12
Tensor Brushed Steel Torchiere Floor Lamp,0,4,0,6,10
3M Office Air Cleaner,0,4,0,6,10
Newell 326,0,3,14,6,23
Hon Comfortask Task/Swivel Chairs,0,3,9,6,18
Deluxe Rollaway Locking File with Drawer,0,3,5,6,14
Bady BDG101FRU Card Printer,0,3,5,6,14
Jensen SMPS-640 - speaker phone,0,3,3,6,12
Xerox 1936,0,3,0,6,9
#6 3/4 Gummed Flap White Envelopes,0,3,0,6,9
Ibico Recycled Linen-Style Covers,0,2,16,6,24
GBC VeloBinder Electric Binding Machine,0,2,7,6,15
Xerox 19,0,2,7,6,15
Tennsco 16-Compartment Lockers with Coat Rack,0,2,5,6,13
"Bush Andora Conference Table, Maple/Graphite Gray Finish",0,2,4,6,12
Avery 500,0,2,0,6,8
Ibico EB-19 Dual Function Manual Binding System,0,0,17,6,23
Southworth 25% Cotton Linen-Finish Paper & Envelopes,0,0,14,6,20
Belkin F9M820V08 8 Outlet Surge,0,0,9,6,15
Avery 496,0,0,8,6,14
Newell 328,0,0,7,6,13
"Global Task Chair, Black",0,0,6,6,12
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,0,0,5,6,11
Array Memo Cubes,0,0,5,6,11
Xerox 1907,0,0,4,6,10
Okidata MB491 Multifunction Printer,0,0,3,6,9
Belkin iPhone and iPad Lightning Cable,0,0,1,6,7
Kingston Digital DataTraveler 64GB USB 2.0,0,0,0,6,6
Lexmark 20R1285 X6650 Wireless All-in-One Printer,0,0,0,6,6
Xerox 1951,16,7,2,5,30
Southworth 25% Cotton Premium Laser Paper and Envelopes,15,0,8,5,28
High-Back Leather Manager's Chair,14,13,10,5,42
"Adams While You Were Out"" Message Pads""",14,5,0,5,24
Acco Perma 3000 Stacking Storage Drawers,14,2,0,5,21
Acco 6 Outlet Guardian Premium Surge Suppressor,13,6,11,5,35
Round Specialty Laser Printer Labels,13,4,17,5,39
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",12,2,6,5,25
Xerox 1913,12,0,0,5,17
Ibico Standard Transparent Covers,11,9,9,5,34
Logitech Gaming G510s - Keyboard,11,9,6,5,31
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",11,3,14,5,33
DAX Cubicle Frames - 8x10,11,0,10,5,26
Xerox 1956,11,0,0,5,16
Xerox 1971,10,10,3,5,28
Peel & Stick Add-On Corner Pockets,10,7,8,5,30
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,10,7,8,5,30
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",10,5,10,5,30
Large Capacity Hanging Post Binders,10,2,5,5,22
Avery 514,10,2,0,5,17
Pressboard Data Binders by Wilson Jones,9,9,4,5,27
Model L Table or Wall-Mount Pencil Sharpener,9,7,3,5,24
Apple iPhone 5,9,0,10,5,24
Enermax Aurora Lite Keyboard,9,0,7,5,21
VTech DS6151,8,6,6,5,25
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",8,5,0,5,18
Newell 343,8,0,11,5,24
"Seth Thomas 14 Putty-Colored Wall Clock""",8,0,0,5,13
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",7,13,2,5,27
Peel & Seel Envelopes,7,6,0,5,18
AT&T 1080 Corded phone,7,6,0,5,18
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,7,5,12,5,29
Panasonic KX-TG9471B,7,5,10,5,27
GBC VeloBinder Strips,7,0,8,5,20
Adtran 1202752G1,7,0,6,5,18
Boston Home & Office Model 2000 Electric Pencil Sharpeners,7,0,1,5,13
Hoover Upright Vacuum With Dirt Cup,6,17,3,5,31
Xerox 1970,6,8,3,5,22
"Green Canvas Binder for 8-1/2 x 14"" Sheets""",6,5,3,5,19
Globe Weis Peel & Seel First Class Envelopes,6,4,15,5,30
DYMO CardScan Personal V9 Business Card Scanner,6,0,0,5,11
Newell 334,5,16,1,5,27
Tenex Antistatic Computer Chair Mats,5,15,0,5,25
Bush Advantage Collection Round Conference Table,5,9,0,5,19
"Computer Room Manger, 14""",5,7,5,5,22
Xerox 210,5,6,2,5,18
Advantus T-Pin Paper Clips,5,4,2,5,16
Acco Hot Clips Clips to Go,5,0,13,5,23
Ibico EPK-21 Electric Binding System,5,0,3,5,13
Xerox 1955,5,0,0,5,10
Xerox 1881,4,18,11,5,38
